caseId,globalCaseId,pid,name,bucket,bucketLabel,humanRangeStatus,humanRangeText,humanAmountMinM,humanAmountMaxM,humanAmountMidpointM,humanTargetTier,humanYears,humanNotes,v1Tier,v1RangeText,v1RangeMinM,v1RangeMaxM,v1Direction,v1Overlap,v1GapM,v1SignedGapM,v1GapCapPct,v1Severe,debugTier,debugRangeMinM,debugRangeMaxM,debugRangeText,debugPointEstimateM,debugPointEstimateText,debugYears,tierPlacementScore,debugReason,modelComponents,riskFlags,v2PointDirection,v2PointInside,v2PointGapM,v2PointSignedGapM,v2PointGapCapPct,v2PointSevere,v2AbsGapToHumanMidpointM,v2AbsGapToHumanRangeM,v1v2Change,oldDemandProxyM,oldDemandProxyText,oldDemandSanityGapM,oldDemandSanityFlag,tradeExploitRiskFlag,tradeExploitReason,age,pos,ovr,pot,value,valueNoPot,contractValue,MPG,starterShare,PER,EWA,VORP,BPM,USG
G-04,B40-28,1527,Džanan Musa,solid_starter,G. SOLID_STARTER,parsed,$12.00M-$18.00M,12,18,15,,,too many TO,MINIMUM_LEVEL,$3.15M-$3.62M,3.15,3.62,too_low,no,8.38,-8.38,0.054187,severe_low,MINIMUM_LEVEL,3.15,3.62,$3.15M-$3.62M,3.44,$3.44M,1,0.610846,v2 keeps v1 tier/range (MINIMUM_LEVEL) and places ask at 61.1% inside the range; flags: high_turnover_creator_risk,"{""currentImpactComponent"":0.5611,""roleCertaintyComponent"":0.7525,""futureUpsideComponent"":0.3513,""skillPortabilityComponent"":0.5555,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.5483}",high_turnover_creator_risk,too_low,no,8.56,-8.56,0.055351,severe_low,11.56,8.56,roughly_same,25.03,$25.03M,21.59,old_demand_much_higher,medium,cheap v2 ask with high OVR/POT/value/contractValue proxy; audit only,26,GF,66,69,61.313465,60.783173,60.889232,32.331666,1,15.783185,3.059359,0.466919,-0.727218,27.142406
H-01,B40-29,1403,Kevin Knox,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,parsed,$25.00M-$35.00M,25,35,30,,,,YOUNG_PROVEN_STARTER,$26.29M-$34.80M,26.29,34.8,overlap,yes,0,0,0,no,YOUNG_PROVEN_STARTER,26.29,34.8,$26.29M-$34.80M,33.02,$33.02M,3-5,0.790975,v2 keeps v1 tier/range (YOUNG_PROVEN_STARTER) and places ask at 79.1% inside the range; flags: high_turnover_role_player_risk,"{""currentImpactComponent"":0.7981,""roleCertaintyComponent"":0.9643,""futureUpsideComponent"":0.4373,""skillPortabilityComponent"":0.6714,""archetypeRiskComponent"":0.28,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9652}",high_turnover_role_player_risk,overlap,yes,0,0,0,no,3.02,0,roughly_same,30.91,$30.91M,-2.11,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",26,F,70,71,64.551188,64.278062,64.332687,33.32959,1,18.852119,7.499689,2.877628,2.731831,23.03125
H-02,B40-30,589,Ben Simmons,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,parsed,$30.00M-$35.00M,30,35,32.5,,,,LOW_END_STARTER,$9.28M-$18.56M,9.28,18.56,too_low,no,11.44,-11.44,0.073973,severe_low,LOW_END_STARTER,9.28,18.56,$9.28M-$18.56M,17.03,$17.03M,1-3,0.835121,v2 keeps v1 tier/range (LOW_END_STARTER) and places ask at 83.5% inside the range; no major risk flags,"{""currentImpactComponent"":0.8875,""roleCertaintyComponent"":0.9695,""futureUpsideComponent"":0.363,""skillPortabilityComponent"":0.6924,""archetypeRiskComponent"":0,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9834}",,too_low,no,12.97,-12.97,0.083867,severe_low,15.47,12.97,roughly_same,30.99,$30.99M,13.96,old_demand_much_higher,medium,cheap v2 ask with high OVR/POT/value/contractValue proxy; audit only,29,PG,69,69,60.455307,64.314156,63.851094,31.207723,1,21.246543,9.036323,5.855211,8.440689,18.185358
H-03,B40-31,732,LaMelo Ball,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,parsed,$35.00M-$40.00M,35,40,37.5,,,,YOUNG_PROVEN_STARTER,$26.29M-$34.80M,26.29,34.8,too_low,no,0.2,-0.2,0.001293,no,YOUNG_PROVEN_STARTER,26.29,34.8,$26.29M-$34.80M,33.66,$33.66M,3-5,0.865929,v2 keeps v1 tier/range (YOUNG_PROVEN_STARTER) and places ask at 86.6% inside the range; flags: high_turnover_creator_risk,"{""currentImpactComponent"":0.909,""roleCertaintyComponent"":0.9766,""futureUpsideComponent"":0.5958,""skillPortabilityComponent"":0.6779,""archetypeRiskComponent"":0.0795,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9958}",high_turnover_creator_risk,too_low,no,1.34,-1.34,0.008665,no,3.84,1.34,roughly_same,30.81,$30.81M,-2.85,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",24,PG,68,74,66.051942,63.828415,64.273121,34.517772,1,22.035388,11.219048,5.234029,6.095967,21.590915
H-04,B40-32,1376,Kai Jones,good_high_starter,H. GOOD_STARTER / HIGH_STARTER,parsed,$35.00M-$40.00M,35,40,37.5,,,,YOUNG_PROVEN_STARTER,$26.29M-$34.80M,26.29,34.8,too_low,no,0.2,-0.2,0.001293,no,YOUNG_PROVEN_STARTER,26.29,34.8,$26.29M-$34.80M,33.3,$33.30M,3-5,0.824315,"v2 keeps v1 tier/range (YOUNG_PROVEN_STARTER) and places ask at 82.4% inside the range; flags: high_turnover_role_player_risk, defense_impact_noisy","{""currentImpactComponent"":0.8392,""roleCertaintyComponent"":0.9719,""futureUpsideComponent"":0.5964,""skillPortabilityComponent"":0.6439,""archetypeRiskComponent"":0.28,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9917}",high_turnover_role_player_risk; defense_impact_noisy,too_low,no,1.7,-1.7,0.010993,no,4.2,1.7,roughly_same,30.67,$30.67M,-2.63,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",24,C,69,74,66.00233,63.738211,64.191035,31.261623,1,19.414923,8.006576,3.612523,4.246451,22.597064
I-01,B40-33,1422,Saben Lee,star_near_max,I. STAR_NEAR_MAX,parsed,$46.40M,46.4,46.4,46.4,max,,,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,STAR_NEAR_MAX,40.83,46.4,$40.83M-$46.40M,45.52,$45.52M,4-5,0.841209,"v2 keeps v1 tier/range (STAR_NEAR_MAX) and places ask at 84.1% inside the range; flags: small_guard_defense_stat_risk, high_turnover_creator_risk","{""currentImpactComponent"":0.9758,""roleCertaintyComponent"":0.9467,""futureUpsideComponent"":0.5054,""skillPortabilityComponent"":0.6677,""archetypeRiskComponent"":0.3,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9418}",small_guard_defense_stat_risk; high_turnover_creator_risk,too_low,no,0.88,-0.88,0.00569,no,0.88,0.88,worsened_from_range_overlap,37.98,$37.98M,-7.54,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",26,PG,74,77,68.838231,68.375079,68.46771,37.159961,1,22.873623,10.712289,6.165589,8.746734,26.461451
I-02,B40-34,1247,Josh Giddey,star_near_max,I. STAR_NEAR_MAX,parsed,$38.66M,38.66,38.66,38.66,max,,,STAR_NEAR_MAX,$34.02M-$38.66M,34.02,38.66,overlap,yes,0,0,0,no,STAR_NEAR_MAX,34.02,38.66,$34.02M-$38.66M,38.08,$38.08M,4-5,0.875717,v2 keeps v1 tier/range (STAR_NEAR_MAX) and places ask at 87.6% inside the range; flags: high_turnover_creator_risk,"{""currentImpactComponent"":0.9683,""roleCertaintyComponent"":0.9619,""futureUpsideComponent"":0.6882,""skillPortabilityComponent"":0.6559,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9584}",high_turnover_creator_risk,too_low,no,0.58,-0.58,0.00375,no,0.58,0.58,worsened_from_range_overlap,37.63,$37.63M,-0.45,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",23,GF,72,80,71.156137,67.544701,68.266988,37.219947,1,24.868697,13.835678,5.564332,7.087219,26.418332
I-03,B40-35,1821,Patrick Williams,star_near_max,I. STAR_NEAR_MAX,parsed,$46.40M,46.4,46.4,46.4,max,,,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,STAR_NEAR_MAX,40.83,46.4,$40.83M-$46.40M,45.66,$45.66M,4-5,0.866369,v2 keeps v1 tier/range (STAR_NEAR_MAX) and places ask at 86.6% inside the range; flags: high_turnover_creator_risk,"{""currentImpactComponent"":0.9439,""roleCertaintyComponent"":0.9696,""futureUpsideComponent"":0.6214,""skillPortabilityComponent"":0.6824,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9668}",high_turnover_creator_risk,too_low,no,0.74,-0.74,0.004785,no,0.74,0.74,worsened_from_range_overlap,38.49,$38.49M,-7.17,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",24,PF,74,79,70.528186,68.325202,68.765798,35.649572,1,22.873541,10.812316,3.388617,3.633695,26.121335
I-04,B40-36,1840,Trae Young,star_near_max,I. STAR_NEAR_MAX,parsed,$44.00M-$46.40M,44,46.4,45.2,basically max,,,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,STAR_NEAR_MAX,40.83,46.4,$40.83M-$46.40M,45.59,$45.59M,4-5,0.853931,v2 keeps v1 tier/range (STAR_NEAR_MAX) and places ask at 85.4% inside the range; flags: high_turnover_creator_risk,"{""currentImpactComponent"":0.9667,""roleCertaintyComponent"":1,""futureUpsideComponent"":0.441,""skillPortabilityComponent"":0.6452,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":1}",high_turnover_creator_risk,overlap,yes,0,0,0,no,0.39,0,roughly_same,36.62,$36.62M,-8.97,old_demand_much_lower,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",27,PG,73,75,66.348639,68.00752,67.675744,38.662058,1,24.177094,15.815873,8.361475,8.954949,26.654345
J-01,B40-37,834,Justin Champagnie,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,parsed,$46.40M,46.4,46.4,46.4,,,,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,STAR_NEAR_MAX,40.83,46.4,$40.83M-$46.40M,45.73,$45.73M,4-5,0.879138,v2 keeps v1 tier/range (STAR_NEAR_MAX) and places ask at 87.9% inside the range; flags: high_turnover_creator_risk,"{""currentImpactComponent"":1,""roleCertaintyComponent"":0.9505,""futureUpsideComponent"":0.6356,""skillPortabilityComponent"":0.692,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.946}",high_turnover_creator_risk,too_low,no,0.67,-0.67,0.004332,no,0.67,0.67,worsened_from_range_overlap,43.01,$43.01M,-2.72,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",24,SF,77,84,73.937059,70.860336,71.414146,35.864291,1,24.008926,11.955526,4.651456,6.254525,25.456462
J-02,B40-38,739,Scottie Barnes,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,parsed,$46.40M,46.4,46.4,46.4,,,,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,STAR_NEAR_MAX,40.83,46.4,$40.83M-$46.40M,45.77,$45.77M,4-5,0.887417,"v2 keeps v1 tier/range (STAR_NEAR_MAX) and places ask at 88.7% inside the range; flags: high_turnover_creator_risk, shooting_portable, defense_impact_noisy","{""currentImpactComponent"":0.9964,""roleCertaintyComponent"":0.9543,""futureUpsideComponent"":0.6053,""skillPortabilityComponent"":0.7466,""archetypeRiskComponent"":0.1256,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9501}",high_turnover_creator_risk; shooting_portable; defense_impact_noisy,too_low,no,0.63,-0.63,0.004074,no,0.63,0.63,worsened_from_range_overlap,40.39,$40.39M,-5.38,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",24,F,74,78,70.848882,69.636653,69.879099,32.771813,1,27.048935,13.188067,5.432965,8.370563,25.153992
J-03,B40-39,1604,Joshua Primo,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,parsed,$46.40M,46.4,46.4,46.4,,,有FMVP，基本上就是max吧,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,STAR_NEAR_MAX,40.83,46.4,$40.83M-$46.40M,45.77,$45.77M,4-5,0.886067,"v2 keeps v1 tier/range (STAR_NEAR_MAX) and places ask at 88.6% inside the range; flags: high_turnover_creator_risk, shooting_portable, defense_impact_noisy","{""currentImpactComponent"":0.9929,""roleCertaintyComponent"":0.9087,""futureUpsideComponent"":0.6732,""skillPortabilityComponent"":0.7462,""archetypeRiskComponent"":0.0555,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":0.9003}",high_turnover_creator_risk; shooting_portable; defense_impact_noisy,too_low,no,0.63,-0.63,0.004074,no,0.63,0.63,worsened_from_range_overlap,40.23,$40.23M,-5.54,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",23,GF,75,80,71.935592,69.247688,69.785269,37.740341,1,23.725686,10.131836,5.494538,9.321602,23.67117
J-04,B40-40,904,Luka Dončić,superstar_max_lock,J. UPPER STAR / MAX BORDERLINE,parsed,$46.40M,46.4,46.4,46.4,max,,,STAR_NEAR_MAX,$40.83M-$46.40M,40.83,46.4,overlap,yes,0,0,0,no,STAR_NEAR_MAX,40.83,46.4,$40.83M-$46.40M,45.67,$45.67M,4-5,0.869837,v2 keeps v1 tier/range (STAR_NEAR_MAX) and places ask at 87.0% inside the range; flags: high_turnover_creator_risk,"{""currentImpactComponent"":0.9834,""roleCertaintyComponent"":1,""futureUpsideComponent"":0.5041,""skillPortabilityComponent"":0.6667,""archetypeRiskComponent"":0.18,""ageYearsRiskComponent"":0,""productionReliabilityComponent"":1}",high_turnover_creator_risk,too_low,no,0.73,-0.73,0.00472,no,0.73,0.73,worsened_from_range_overlap,38.81,$38.81M,-6.86,old_demand_close,low,"asset proxy is notable, but v2 ask is not clearly cheap enough for a high audit flag",26,G,74,77,69.26304,68.878824,68.955667,36.819228,1,24.573986,15.801434,8.976027,10.411228,23.399267
